text,n_instances,mean_complexity,genre,epoche,date
"D. Hatnub 6",4,3571.5,Biographischer Text,Altes Reich,-2231
"Kairo, Ägyptisches Museum, CG 61019 [docket Herihor]",3,3563.66666666667,Nicht spezifizierter Königlicher Text,Dritte Zwischenzeit,-1007
"Kairo, Ägyptisches Museum, JE 95838",33,3563.15151515152,Totenbuch,Dritte Zwischenzeit,-1007
"D. Assiut N13.1 TW31",1,3562,Fürbitte,Neues Reich,-1182
"D. TT 63.1",17,3555.05882352941,Besuchertext,Neues Reich,-1395
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10498",6,3552.83333333333,Rechnung,Neues Reich,-1363
"Prag, Náprstek Museum, P 2034",19,3546.31578947368,Kemit,Neues Reich,-1182
"Moskau, State Pushkin Museum of Fine Arts, I, 1б 314",371,3543.23989218329,Hymne im Königskult,Zweite Zwischenzeit,-1565
"D. Assiut N13.1 TS29",10,3535.1,Fürbitte,Neues Reich,-1182
"Kairo, Institut français d’archéologie orientale, 794",2,3532.5,Namenliste/Onomasticon,Neues Reich,-1150
"London, British Museum, EA 10312",8,3513.375,Totenbuch,Dritte Zwischenzeit,-866.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3024",8,3510.75,Erzählung,Mittleres Reich,-1808.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3029 [c]",7,3510.28571428571,Rechnung,Neues Reich,-1413.5
"Berlin, Ägyptisches Museum und Papyrussammlung, ÄM 13772",1,3508,Sargtexte,Mittleres Reich,-2020
"Kairo, Institut français d’archéologie orientale, OL 2",5,3505.8,Kemit,Neues Reich,-1182
"Turin, Museo Egizio, CGT 10101 a",53,3500.60377358491,Mundöffnungsritual,Neues Reich,-1084
"Kairo, Institut français d’archéologie orientale, OL 8",3,3478.66666666667,Kemit,Neues Reich,-1182
"P. Illahun Tp Gr.",1,3477,Inventarliste,Mittleres Reich,-1879
"P. Berl. Brief Ḳmꜣ",1,3474,Brief,Mittleres Reich,-1852.5
"Straßburg, Bibliothèque nationale et universitaire de Strasbourg, 58",13,3471.30769230769,Brief,Altes Reich,-2263
"D. Assiut N13.1 TN4",3,3470.66666666667,nicht spezifiziert,Neues Reich,-1422.5
